Paper ID	Title	URL	Authors	ShortDetails	Code sets required	Code sets reported	Assessment
1	ACL and meniscal injuries increase the risk of primary total knee replacement for osteoarthritis: a matched case-control study using the Clinical Practice Research Datalink (CPRD).	https://www.ncbi.nlm.nih.gov/pubmed/29331994	Khan T, Alvand A, Prieto-Alhambra D, Culliford DJ, Judge A, Jackson WF, Scammell BE, Arden NK, Price AJ.	Br J Sports Med. 2018	Total knee replacement, acli, meniscal injury	TKR	CODE SET
2	Effect of Cesarean Delivery on Long-term Risk of Small Bowel Obstruction.	https://www.ncbi.nlm.nih.gov/pubmed/29324607	Abenhaim HA, Tulandi T, Wilchesky M, Platt R, Spence AR, Czuzoj-Shulman N, Suissa S.	Obstet Gynecol. 2018	live birth, cesarean delivery, small bowel obstruction	none	NONE
3	Glucose Control and Weight Change Associated with Treatment with Exenatide Compared with Basal Insulin: AÂ Retrospective Study.	https://www.ncbi.nlm.nih.gov/pubmed/29318537	Morgan CL, Qiao Q, Grandy S, Johnsson K, Jenkins-Jones S, Holden S, Currie CJ.	Diabetes Ther. 2018	T2D, non-insulin glucose lowering therapy, T1D, exenatide, charlson index, cholesterol, creatinine, SBP, hba1c, smoking status, bmi, weight	none	NONE
4	Risk of fracture among patients with polymyalgia rheumatica and giant cell arteritis: a population-based study.	https://www.ncbi.nlm.nih.gov/pubmed/29316928	Paskins Z, Whittle R, Sultan AA, Muller S, Blagojevic-Bucknall M, Helliwell T, Hider S, Roddy E, Mallen C.	BMC Med. 2018	Polymyalgia rheumatica (PMR), giant cell arteritis (GCA), any fracture, ABCS (alcohol, bmi, charlson, smoking)	PMR, GCA, fracture	CODE SET
5	Aromatase Inhibitors and the Risk of Colorectal Cancer in Post-Menopausal Women with Breast Cancer.	https://www.ncbi.nlm.nih.gov/pubmed/29293897	Khosrow-Khavar F, Yin H, Barkun A, Bouganim N, Azoulay L.	Ann Oncol. 2017	Breast cancer, metastatic disease, endocrine therapy,anastrozole, letrozole, exemestane, tamoxifen, colorectal cancer, familial adenomatous polyposis, cystic fibrosis, Lynch syndrome, ABS	colorectal cancer	CODE SET
6	Incretin-based drugs and the incidence of colorectal cancer in patients with type 2 diabetes.	https://www.ncbi.nlm.nih.gov/pubmed/29283894	Abrahami D, Yin H, Yu OHY, Pollak MN, Azoulay L.	Epidemiology. 2017	non-insulin antidiabetic drugs, gestational diabetes, polycystic ovary syndrome, incretin-based drug, colorectal cancer, Lynch syndrome, ABCS	none	NONE
7	Antibiotic drug use and the risk of Stevens-Johnson Syndrome and Toxic Epidermal Necrolysis A Population-Based Case-Control Study.	https://www.ncbi.nlm.nih.gov/pubmed/29273314	Frey N, Bircher A, Bodmer M, Jick SS, Meier CR, Spoendlin J.	J Invest Dermatol. 2017	Stevens-Johnson syndrome (SJS), toxic epidermal necrolysis(TEN), antibiotics, epidermal necrolysis	SJS,TEN	CODE SET
8	Clinical effectiveness and cost-effectiveness of issuing longer versus shorter duration (3-month vs. 28-day) prescriptions in patients with chronic conditions: systematic review and economic modelling.	https://www.ncbi.nlm.nih.gov/pubmed/29268843	Miani C, Martin A, Exley J, Doble B, Wilson E, Payne R, Avery A, Meads C, Kirtley A, Jones MM, King S.	Health Technol Assess. 2017	T2D, oral antidiabetic drug, glucose control, hypertension, anti-hypertensive drugs, statins, MI, depression	All product codes for drugs	NOT READv2
9	Acetylcholinesterase inhibitors and the risk of osteoporotic fractures: nested case-control study.	https://www.ncbi.nlm.nih.gov/pubmed/29264626	Tamimi I, Nicolau B, Eimar H, Arekunnath Madathil S, Kezouh A, Karp I, Tamimi F.	Osteoporos Int. 2017	dementia, Alzheimer’s disease, AChEIs, memantine, osteoporotic fracture, Paget’s disease, osteoporosis, osteomalacia, cancer [excluding non-melanoma skin cancer], HIV infection, congestive heart failure, cerebrovascular accident, rheumatoid arthritis, peripheral vascular disease, alcoholism, corticosteroids, anti-epileptic drugs, anxiolytics, sedatives, calcium-vitamin D supplements, β-blockers, antihypertensive drugs, bisphosphonates	none	NONE
10	Body Mass Index and Incident Type 1 and Type 2 Diabetes in Children and Young Adults: A Retrospective Cohort Study.	https://www.ncbi.nlm.nih.gov/pubmed/29264507	Abbasi A, Juszczyk D, van Jaarsveld CHM, Gulliford MC.	J Endocr Soc. 2017	T1D, T2D, antidiabetic drugs, hba1c, polycystic ovary syndrome, gestational diabetes, height, weight, bmi	none	NONE
11	The risk of fragility fractures in new users of dipeptidyl peptidase-4 inhibitors compared to sulfonylureas and other anti-diabetic drugs: A cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29258886	Gamble JM, Donnan JR, Chibrikov E, Twells LK, Midodzi WK, Majumdar SR.	Diabetes Res Clin Pract. 2017	T2D, anti-diabetic agent,polycystic ovarian syndrome, pregnant women,gestational diabetes, osteoporotic or fragility fracture, osteoporosis, osteomalacia, neoplasms (non-skin), bisphosphonate, calcitonin, denosumab, raloxifene, tereparatide,DPP-4 inhibitors, Glucagon-like peptide-1 (GLP-1) receptor agonists, (3) Metformin, (4) Sulfonylureas, (5) Thiazolidinediones, (6) Sodium glucose co-transporter-2 (SGLT2) inhibitors, (7) Meglinides, (8) Acarbose, (9) Insulin, fragility fracture, age, sex, smoking status, socioeconomic status, year of cohort entry, alcohol abuse, body mass index, duration of diabetes, history of cirrhosis, heart failure, hypertension, hyperlipidemia, ischemic heart disease, peripheral vascular disease, number of hospitalizations, number of distinct prescription drugs, most recent HbA1c value, prescription for a bisphosphonate, estrogen, oral contraceptive, oral corticosteroid, thiazide diuretics	fragility fracture	CODE SET
12	Trends in diagnosis and treatment for people with dementia in the UK from 2005 to 2015: a longitudinal retrospective cohort study.	https://www.ncbi.nlm.nih.gov/pubmed/29253388	Donegan K, Fox N, Black N, Livingston G, Banerjee S, Burns A.	Lancet Public Health. 2017	dementia, Alzheimer's disease, antidementia drug, an antipsychotic (excluding prochloperazine), an anxiolytic, a hypnotic, or an antidepressant	dementia	CODE SET
13	Validity of diagnostic codes to identify hospitalizations for infections among patients treated with oral anti-diabetic drugs.	https://www.ncbi.nlm.nih.gov/pubmed/29250905	Saine ME, Gizaw M, Carbonari DM, Newcomb CW, Roy JA, Cardillo S, Esposito DB, Bhullar H, Gallagher AM, Strom BL, Lo Re V 3rd.	Pharmacoepidemiol Drug Saf. 2017	oral antidiabetic, any infection, antimicrobial rx	any infection	CODE SET
14	Comparative effect of statins on the risk of incident Alzheimer disease.	https://www.ncbi.nlm.nih.gov/pubmed/29247073	Sinyavskaya L, Gauthier S, Renoux C, Dell'Aniello S, Suissa S, Brassard P.	Neurology. 2017	statins,dementia, early dementia symptoms, cholinesterase inhibitor (donepezil, galantamine, or rivastigmine) or memantine, alzeihmers, smoking, obesity, alcohol abuse, type 2 diabetes, hypertension, cardiovascular (including atrial fibrillation and congestive heart failure) and cerebrovascular diseases, coronary bypass surgery, dyslipidemia, osteoporosis, Parkinson disease, peripheral artery disease, cancer, non-statin LLDs (fibrates, niacin, bile acid sequestrants, probucol), and cardiovascular medications (anticoagulants, antiplatelets, antiarrhythmics, angiotensin-converting enzyme inhibitors, angiotensine-2 receptor blockers, [beta]-blockers, calcium channel blockers, diuretics, vasodilators, digitalis preparations	none	NONE
15	Prescription of DPP-4 Inhibitors to Type 2 Diabetes Mellitus Patients With Renal Impairment: A UK Primary Care Experience.	https://www.ncbi.nlm.nih.gov/pubmed/29246708	Spanopoulos D, Barrett B, Busse M, Roman T, Poole C.	Clin Ther. 2018	T2D, Dpp4 inhibitor, serum creatinie, weight, T1D,  alogliptin 25 mg, sitagliptin 100 mg, saxagliptin 5 mg, and vildagliptin 	none	CODE SET FROM OTHER PAPER
16	Treating iron deficiency in patients with gastrointestinal disease: Risk of re-attendance in secondary care.	https://www.ncbi.nlm.nih.gov/pubmed/29244881	Tomkins S, Chapman C, Myland M, Tham R, de Nobrega R, Jackson B, Keshav S.	PLoS One. 2017	IDA,GI disease, anaemia	all	NOT READv2
17	Incidence and prevalence of hepatitis B in patients with diabetes mellitus in the UK: a population-based cohort study using the UK Clinical Practice Research Datalink.	https://www.ncbi.nlm.nih.gov/pubmed/29220868	Ferreira GLC, Marano C, De Moerlooze L, Guignard A, Feng Y, El Hahi Y, van Staa T.	J Viral Hepat. 2017	T1D,T2D,antidiabetic drug therapy, DM related clinical events, gestational diabetes,Hep B 	T1D,T2D,HepB	CODE SET
18	Under-treatment of hypertension and hypercholesterolemia in children and adolescents with type 1 diabetes- Long term follow-up on time trends in the occurrence of cardiovascular disease, risk factors and medications use.	https://www.ncbi.nlm.nih.gov/pubmed/29218780	Ahmadizar F, Souverein P, de Boer A, Maitland-van der Zee AH.	Br J Clin Pharmacol. 2017	T1D,insulin,  hypertension, hypercholesterolaemia, poor glucose level, family history of CVD	none	NOT NEEDED - AVAILABLE ON REQUEST
19	Retrospective, multicohort analysis of the Clinical Practice Research Datalink (CPRD) to determine differences in the cost of medication wastage, dispensing fees and prescriber time of issuing either short (<60 days) or long (â‰¥60 days) prescription lengths in primary care for common, chronic conditi...	https://www.ncbi.nlm.nih.gov/pubmed/29208621	Doble B, Payne R, Harshfield A, Wilson ECF.	BMJ Open. 2017	Glucose control therapy, antihypertensives, Lipid management, antidepressives	all	NOT READv2
20	A combined connectivity mapping and pharmacoepidemiology approach to identify existing medications with breast cancer causing or preventing properties.	https://www.ncbi.nlm.nih.gov/pubmed/29205633	Busby J, Murray L, Mills K, Zhang SD, Liberante F, Cardwell CR.	Pharmacoepidemiol Drug Saf. 2018	breast cancer, all medications, ductal carcinoma, charlson	breast cancer, ductal carcinoma	NOT READv2
21	Blood Pressure Trajectories in the 20 Years Before Death.	https://www.ncbi.nlm.nih.gov/pubmed/29204655	Delgado J, Bowman K, Ble A, Masoli J, Han Y, Henley W, Welsh S, Kuchel GA, Ferrucci L, Melzer D.	JAMA Intern Med. 2018	BP,asthma, atrial fibrillation, coronary heart disease, cancer, chronic kidney disease (stage 3-5), chronic obstructive pulmonary disease, dementia, depression, diabetes mellitus, epilepsy, heart failure, hypertension, severe mental conditions (psychoses),23 stroke or transient ischemic attack, and hypothyroidism, hypertension, heart failure, atrial fibrillation, stroke, tia, Charlson,Rockwood frailty index, antihypertensive treatment, weight loss, smoking status, and physical activity	none	NONE
22	Protective effect of antirheumatic drugs on dementia in rheumatoid arthritis patients.	https://www.ncbi.nlm.nih.gov/pubmed/29201995	Judge A, Garriga C, Arden NK, Lovestone S, Prieto-Alhambra D, Cooper C, Edwards CJ.	Alzheimers Dement (N Y). 2017	RA, dementia,MTX, MTX sodium, chloroquine phosphate/proguanil hydrochloride, ciclosporin, cyclophosphamide, hydroxychloroquine sulphate, sodium aurothiomalate, and sulfasalazine,body mass index (closest height, weight, and body mass index measurements to the date of diagnosis), alcohol consumption, smoking, calendar year of RA diagnosis, duration of RA (time since first-ever record of RA), region of the UK, comorbidities (tuberculosis, demyelinating disease, cardiovascular disease, myocardial infarction, congestive heart failure, peripheral vascular disease, interstitial lung disease, anemia, and osteoporosis), first presenting symptoms for early RA (joint pain, swollen tender joints, morning stiffness, systemic malaise, weakness/loss of energy), medication use in the year before RA diagnosis (analgesics, hypertensives, aspirin, cyclooxygenase-2 inhibitors, diabetic medications, H2 blockers, nonsteroidal antiinflammatory drugs [NSAIDS], proton pump inhibitors, statins, prednisolone, and other steroids), steroid use after RA diagnosis (prednisolone and other steroids), whether or not the patient has severe RA (systemic disease [extra-articular], seropositivity, erosive, multiple joint, or polyarthropathy) at the time of diagnosis	RA, dementia	CODE SET
23	Risk of venous thromboembolism among users of different anti-osteoporosis drugs: a population-based cohort analysis including over 200,000 participants from Spain and the UK.	https://www.ncbi.nlm.nih.gov/pubmed/29199359	MartÃ­n-Merino E, Petersen I, Hawley S, Ãlvarez-Gutierrez A, Khalid S, Llorente-Garcia A, Delmestri A, Javaid MK, Van Staa TP, Judge A, Cooper C, Prieto-Alhambra D.	Osteoporos Int. 2017	anti-osteoporosis medication, raloxifene, ,bazedoxifene , VTE,heparin or oral anticoagulant, venous insufficiency, phlebitis, fractures, HRT, Charlson index, cancer, and peripheral arterial disease, BMI,smoking	VTE	NOT READv2
24	Do delays in data availability limit the implementation of near real-time vaccine safety surveillance using the Clinical Practice Research Datalink?	https://www.ncbi.nlm.nih.gov/pubmed/29193554	Leite A, Thomas SL, Andrews NJ.	Pharmacoepidemiol Drug Saf. 2018	none	none	NONE
25	Identifying social factors amongst older individuals in linked electronic health records: An assessment in a population based study.	https://www.ncbi.nlm.nih.gov/pubmed/29190680	Jain A, van Hoek AJ, Walker JL, Mathur R, Smeeth L, Thomas SL.	PLoS One. 2017	social factors	social factors	CODE SET
26	Temporal trends and patterns in heart failure incidence: a population-based study of 4 million individuals.	https://www.ncbi.nlm.nih.gov/pubmed/29174292	Conrad N, Judge A, Tran J, Mohseni H, Hedgecott D, Crespillo AP, Allison M, Hemingway H, Cleland JG, McMurray JJV, Rahimi K.	Lancet. 2017	HF, SBP, DBP, smoking status, BMI, anaemia, asthma, atrial fibrillation, cancer, chronic kidney disease, chronic obstructive pulmonary disease, dementia, depression, diabetes, dyslipidaemia, hypertension, ischaemic heart disease, obesity, osteoarthritis, peripheral arterial disease, stroke, and thyroid disease	HF	CODE SET
